Matiz,Saturacion,Valor,Brillo,SRE,LRE,GNL,RLNU,RP,LGRE,HGRE,SRLGE,SRHGE,LRLGE,LRHGE,GLV,RLV,Etiqueta
0.058277,0.808326,0.680524,0.367748,0.157921,0.768512,0.334869,0.601531,0.16118,0.465522,0.587489,0.830772,0.882015,0.116703,0.884437,0.596705,0.795832,1
0.059384,0.811616,0.685282,0.373899,0.149474,0.770761,0.335318,0.606394,0.154525,0.470597,0.592248,0.836048,0.885097,0.113517,0.890378,0.584805,0.806924,1
0.063311,0.807074,0.691725,0.376417,0.140316,0.769702,0.333063,0.600433,0.149172,0.475837,0.586217,0.841022,0.889886,0.109845,0.890653,0.590427,0.804662,1
0.056741,0.808151,0.693368,0.37773,0.160568,0.764258,0.337494,0.600058,0.15825,0.479034,0.586463,0.834858,0.879007,0.115169,0.887415,0.573627,0.815735,1
0.063523,0.803748,0.70185,0.384393,0.168573,0.768991,0.331714,0.597276,0.165713,0.48632,0.583041,0.833244,0.879271,0.116526,0.886705,0.575373,0.816279,1
0.061007,0.806106,0.702056,0.387055,0.167527,0.763618,0.337808,0.599945,0.169737,0.488508,0.586421,0.833448,0.876612,0.121744,0.879829,0.56154,0.823905,1
0.060622,0.799466,0.710634,0.393497,0.173082,0.759195,0.338596,0.594094,0.162378,0.496853,0.580895,0.836432,0.878024,0.116625,0.882871,0.561793,0.827021,1
0.05524,0.825302,0.686238,0.326489,0.131486,0.771033,0.312849,0.567242,0.121807,0.46531,0.551794,0.861766,0.907903,0.094263,0.900483,0.570661,0.828751,1
0.054033,0.817598,0.693486,0.332958,0.129916,0.766913,0.314589,0.563682,0.128727,0.472208,0.548599,0.86341,0.909093,0.099623,0.894748,0.568606,0.829479,1
0.064135,0.839319,0.469688,0.432689,0.211934,0.730479,0.51952,0.953785,0.434478,0.312071,0.955595,0.695319,0.658211,0.340332,0.631856,0.470742,0.819976,1
0.048507,0.81777,0.695147,0.334414,0.141576,0.761254,0.318211,0.561333,0.13421,0.475094,0.546831,0.861092,0.904725,0.101654,0.891156,0.558903,0.83663,1
0.051491,0.811107,0.700606,0.341134,0.149211,0.757489,0.320955,0.560059,0.142083,0.481104,0.545954,0.85876,0.902147,0.107049,0.882098,0.557656,0.83557,1
0.044922,0.811057,0.700604,0.340323,0.157565,0.750122,0.326263,0.557909,0.136749,0.483126,0.544591,0.858908,0.90107,0.10118,0.887278,0.554479,0.840302,1
0.056485,0.807358,0.705387,0.345746,0.146202,0.746749,0.328941,0.557303,0.130898,0.487832,0.544358,0.862476,0.90482,0.099439,0.883231,0.557962,0.839236,1
